source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
S1004334,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[1, 3, 2]",-1184.88765595525,0.3819383750851557,394286.0
S1004345,5,5,5,5,4,0.0,0.0,0.0,True,4.0,"[1, 1, 1]",-766.2814419725385,0.5095644230550533,394360.0
S1004361,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 2, 1]",-396.37042012131246,0.46099337919258687,394453.0
S1004362,5,5,5,5,4,0.0,0.0,2.0,True,4.0,"[2, 2, 2]",-391.8593978778083,0.008971787565315026,394524.0
S1004366,4,4,4,4,3,0.0,0.0,0.0,True,3.0,"[1, 1, 1]",-615.831202852175,0.5329612000650741,394582.0
S1004380,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 2, 2]",-669.957522724,0.015220599948406743,394657.0
S1004391,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-546.3737682828055,0.4731965278779171,394723.0
S1004394,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[3, 3, 2]",-1331.9060617749499,0.26270989997101424,394803.0
S1004397,6,6,6,6,5,1.0,2.0,3.0,True,5.0,"[2, 2, 2]",-1353.2126842193888,0.4826497777230543,394901.0
S1004405,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 1, 1]",-1183.9162495979547,0.7093099770827394,394987.0
S1004413,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-1105.0106022962,0.42794530008904985,395354.0
S1004414,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 1, 1]",-1105.0100735756,0.822846949859013,395396.0
S1004439,7,7,7,7,6,1.0,1.0,4.0,True,6.0,"[3, 2, 2]",-803.800191828625,0.0358462500571477,395465.0
S1004478,11,11,11,11,10,3.0,5.0,7.0,True,10.0,"[4, 4, 5]",-865.8947617270715,0.40254257146443706,395571.0
S1004479,10,10,10,10,9,2.0,2.0,6.0,True,9.0,"[3, 3, 5]",-794.601972778,0.6585485000414337,395659.0
S1004482,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 2, 2]",-401.94109447968333,0.9644417722256549,395714.0
S1004492,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[1, 1, 2]",-350.67114134816666,0.25121230953573104,395765.0
S1004518,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-304.1508635687182,0.391421395420366,395826.0
S1004520,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 1, 2]",-1086.6562519315312,0.7401717812172137,395933.0
